Family,Group,English Name,Scientific Name,IUCN Category
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Günther's false wolf snake,Lycodon septentrionalis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Barred wolf snake,Lycodon striatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Wolf snake,Tiwari's wolf snake,Lycodon tiwarii,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Awl-headed snake,Sind Awl-headed snake,Lytorhynchus paradoxus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,White-barred kukri snake,Oligodon albocinctus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Common kukri snake,Oligodon arnensis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,North-eastern kukri snake,Oligodon catenatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Spot-tailed kukri snake,Oligodon dorsalis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Red-bellied kukri snake,Oligodon erythrogaster,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Black kukri snake,Oligodon melaneus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Wall's kukri snake,Oligodon melanozonatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Kukri snake,Yellow-striped kukri snake,Oligodon woodmasoni,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Banded trinket snake,Oreocryptophis porphyraceus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Eastern trinket snake,Orthriophis cantoris,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Himalayan trinket snake,Orthriophis hodgsonii,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Trinket snake,Striped trinket snake,Orthriophis taeniurus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Racer snakes,Nagarjunasagar racer,Platyceps bholanathi,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Racer snakes,Slender racer,Platyceps gracilis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Racer snakes,Jan's cliff racer,Platyceps rhodorachis,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Racer snakes,Glossy-bellied racer,Platyceps ventromaculatus,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Rat snake,Indo-Chinese Rat snake,Ptyas korros,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Rat snake,Indian Rat snake,Ptyas mucosa,Not Evaluated
"Colubridae (Racers, vine snakes, flying snakes, cat snake, trinkets, bronzeback, wolf snake, kukri)",Rat snake,Green Rat snake,Ptyas nigromarginata,Not Evaluated
