Family,Group,English Name,Scientific Name,IUCN Category
Cricetidae (New World Rodents),Rats,Himalayan Rat,Rattus nitidus,Least Concern
Cricetidae (New World Rodents),Rats,Himalayan Rat,Rattus pyctoris,Least Concern
"Bovidae (Cattle, Antelope, Sheep, Goat)",Goat-antelope,Himalayan Serow,Capricornis sumatraensis thar,Vulnerable
Soricidae (Shrews),Shrews,Himalayan Shrew,Soriculus nigrescens,Least Concern
Sciuridae (Squirrels),Squirrels,Himalayan Striped Squirrel,Tamiops macclellandii,Vulnerable
"Bovidae (Cattle, Antelope, Sheep, Goat)",Wild goat,Himalayan tahr,Hemitragus jemlahicus,Least Concern
Soricidae (Shrews),Shrews,Himalayan Water Shrew,Chimarrogale himalayica,Least Concern
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Himalayan Whiskered Myotis,Myotis siligorensis,Least Concern
Leporidae (Hares And Rabbits),Hares And Rabbits,Hispid Hare,Caprolagus hispidus,Endangered
Spalacidae (Spalacids),Bamboo rats,Hoary Bamboo Rat,Rhizomys pruinosus,Near Threatened
Soricidae (Shrews),Shrews,Hodgson's Brown-toothed Shrew,Episoriculus caudatus,Least Concern
Sciuridae (Squirrels),Flying squirrels,Hodgson's Giant flying,Petaurista magnificus,Least Concern
Vespertilionidae (Vesper Bats),Myotis (vesper bats),Hodgson's Myotis,Myotis formosus,Least Concern
Cervidae (Deer),Deer,Hog deer,Axis porcinus,Endangered
"Mustelidae (Badgers, Otters, Weasels)",Badgers,Hog-badger,Arctonyx collaris,Endangered
"Mustelidae (Badgers, Otters, Weasels)",Badgers,Honey Badger,Mellivora capensis,Least Concern
Soricidae (Shrews),Shrews,Horsefield's Shrew,Crocidura horsfieldii,Least Concern
